rank,university,country,regional_rank,ranking_source,ranking_year,ranking_url,arwu_profile_url,overall_score
1,Harvard University,United States,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/harvard-university,100
2,Stanford University,United States,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/stanford-university,76.8
3,Massachusetts Institute of Technology,United States,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/massachusetts-institute-of-technology-mit,71.2
4,University of Cambridge,United Kingdom,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-cambridge,68.6
5,"University of California, Berkeley",United States,4,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-california-berkeley,61.8
6,University of Oxford,United Kingdom,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-oxford,61
7,Princeton University,United States,5,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/princeton-university,59.4
8,Columbia University,United States,6,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/columbia-university,55.8
9,California Institute of Technology,United States,7,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/california-institute-of-technology,55.5
10,University of Chicago,United States,8,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-chicago,54.2
11,Yale University,United States,9,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/yale-university,53.6
12,Cornell University,United States,10,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/cornell-university,49.8
13,Paris-Saclay University,France,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/paris-saclay-university,49.1
14,University College London,United Kingdom,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-college-london,48.5
14,University of Pennsylvania,United States,11,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-pennsylvania,48.5
16,"University of California, Los Angeles",United States,12,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-california-los-angeles,48
17,University of Washington,United States,13,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-washington,46.2
18,Tsinghua University,China,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/tsinghua-university,46
19,Johns Hopkins University,United States,14,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/johns-hopkins-university,45.5
20,"University of California, San Diego",United States,15,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-california-san-diego,45.3
21,"University of California, San Francisco",United States,16,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-california-san-francisco,44.7
22,ETH Zurich,Switzerland,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/eth-zurich,44.1
23,Peking University,China,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/peking-university,42.5
24,Zhejiang University,China,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/zhejiang-university,42
25,University of Toronto,Canada,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-toronto,41.5
26,Imperial College London,United Kingdom,4,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/imperial-college-london,40.4
26,Washington University in St Louis,United States,17,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/washington-university-in-st-louis,40.4
28,New York University,United States,18,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/new-york-university,38.9
29,Rockefeller University,United States,19,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/rockefeller-university,38.7
30,Shanghai Jiao Tong University,China,4,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/shanghai-jiao-tong-university,37.7
31,Northwestern University,United States,20,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/northwestern-university,37.5
31,The University of Tokyo,Japan,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-tokyo,37.5
33,"University of Michigan, Ann Arbor",United States,21,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-michigan-ann-arbor,37.4
34,PSL University,France,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/psl-university,37.3
35,University of Copenhagen,Denmark,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-copenhagen,37.2
36,"University of Wisconsin, Madison",United States,22,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-wisconsin-madison,36.4
37,The University of Edinburgh,United Kingdom,5,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-edinburgh,35.7
38,The University of Melbourne,Australia,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-melbourne,35.5
39,University of North Carolina at Chapel Hill,United States,23,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-north-carolina-at-chapel-hill,35
40,University of Science and Technology of China,China,5,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-science-and-technology-of-china,34.9
41,Fudan University,China,6,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/fudan-university,34.5
42,University of Munich,Germany,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-munich,34.4
43,Sorbonne University,France,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/sorbonne-university,34.3
44,Swiss Federal Institute of Technology Lausanne,Switzerland,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/swiss-federal-institute-of-technology-lausanne,34.1
45,Technical University of Munich,Germany,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/technical-university-of-munich,33.7
46,Duke University,United States,24,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/duke-university,33.6
46,Kyoto University,Japan,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/kyoto-university,33.6
46,The University of Manchester,United Kingdom,6,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-manchester,33.6
49,The University of Texas at Austin,United States,25,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-texas-at-austin,33.4
50,Karolinska Institute,Sweden,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/karolinska-institute,32.9
51,Heidelberg University,Germany,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/heidelberg-university,32.7
51,"University of Minnesota, Twin Cities",United States,26,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-minnesota-twin-cities,32.7
53,University of British Columbia,Canada,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-british-columbia,32.3
53,"University of Illinois Urbana, Champaign",United States,27,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-illinois-at-urbana-champaign,32.3
55,"University of Maryland, College Park",United States,28,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-maryland-college-park,32.2
56,National University of Singapore,Singapore,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/national-university-of-singapore,32.1
56,Utrecht University,Netherlands,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/utrecht-university,32.1
58,University of Geneva,Switzerland,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-geneva,31.9
58,University of Texas Southwestern Medical Center,United States,29,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-texas-southwestern-medical-center-at-dallas,31.9
60,Université Paris Cité,France,4,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-paris,31.8
61,King's College London,United Kingdom,7,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/kings-college-london,31.7
62,University of Colorado Boulder,United States,30-31,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-colorado-at-boulder,30.9
62,Vanderbilt University,United States,30-31,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/vanderbilt-university,30.9
64,University of Zurich,Switzerland,4,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-zurich,30.8
65,Sun Yat-sen University,China,7,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/sun-yat-sen-university,30.6
65,The University of Queensland,Australia,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-queensland,30.6
67,The University of Hong Kong,China-Hong Kong,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-hong-kong,30.5
68,University of Bonn,Germany,4,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-bonn,30.1
68,University of Southern California,United States,32,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-southern-california,30.1
70,"University of California, Santa Barbara",United States,33,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-california-santa-barbara,30
71,Weizmann Institute of Science,Israel,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/weizmann-institute-of-science,29.7
72,University of Sydney,Australia,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-sydney,29.2
73,Huazhong University of Science and Technology,China,8,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/huazhong-university-of-science-and-technology,29
73,University of Groningen,Netherlands,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-groningen,29
75,Nanjing University,China,9,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/nanjing-university,28.8
76,KU Leuven,Belgium,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/ku-leuven,28.6
76,McGill University,Canada,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/mcgill-university,28.6
76,Monash University,Australia,4,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/monash-university,28.6
79,"University of California, Irvine",United States,34,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-california-irvine,28.5
80,The University of New South Wales,Australia,5,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-new-south-wales,28.4
81,Seoul National University,South Korea,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/seoul-national-university,28.3
81,Wuhan University,China,10,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/wuhan-university,28.3
83,"Ohio State University, Columbus",United States,35,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-ohio-state-university-columbus,28.2
83,University of Oslo,Norway,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-oslo,28.2
85,Aarhus University,Denmark,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/aarhus-university,28.1
86,The University of Texas MD Anderson Cancer Center,United States,36,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-university-of-texas-m-d-anderson-cancer-center,28
87,Sichuan University,China,11,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/sichuan-university,27.7
88,Nanyang Technological University,Singapore,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/nanyang-technological-university,27.4
88,The Hebrew University of Jerusalem,Israel,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/the-hebrew-university-of-jerusalem,27.4
88,University of Pittsburgh,United States,37,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-pittsburgh,27.4
91,Ghent University,Belgium,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/ghent-university,27.2
92,Xi'an Jiaotong University,China,12,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/xian-jiaotong-university,27.1
93,Uppsala University,Sweden,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/uppsala-university,27
94,University of Basel,Switzerland,5,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-basel,26.8
94,University of Helsinki,Finland,1,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-helsinki,26.8
96,Central South University,China,13,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/central-south-university,26.6
97,Technion-Israel Institute of Technology,Israel,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/technion-israel-institute-of-technology,26.5
98,University of Bristol,United Kingdom,8,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/university-of-bristol,26.4
99,City University of Hong Kong,China-Hong Kong,2,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/city-university-of-hong-kong,26.3
100,Stockholm University,Sweden,3,ARWU,2025,https://www.shanghairanking.com/rankings/arwu/2025,https://www.shanghairanking.com/universities/stockholm-university,26.1
